RoleKey,RoleName,Posts,RoleFamily,SourceNote,DataIssue
R01,Advisor - PPD Programme Management Office - East Delivery Management Office,2,Advisor,,
R02,Advisor - PPD Programme Management Office - Midlands Delivery Management Office,2,Advisor,,
R03,Advisor - PPD Programme Management Office - North East Delivery Management Office,2,Advisor,,
R04,Advisor - PPD Programme Management Office - North West Delivery Management Office,2,Advisor,,
R05,Advisor - PPD Programme Management Office - South East Delivery Management Office,2,Advisor,,
R06,Advisor - PPD Programme Management Office - South West Delivery Management Office,2,Advisor,,
R07,Advisor - Portfolio Management Office - Portfolio Management,4,Advisor,,
R08,"Advisor - Portfolio Management Office - Portfolio Reporting & Insights - Benefits, Outcomes & Performance",1,Advisor,,
R09,Advisor - Portfolio Management Office - Portfolio Reporting & Insights - Monitoring & Review,2,Advisor,,
R10,Advisor - RMA Programme Management Office,1,Advisor,,
R11,Advisor - RMA Programme Management Office - Anglian North/Anglian Eastern/Anglian Great Ouse RFCCs,1,Advisor,,
R12,Advisor - RMA Programme Management Office - Nortumbria/Yorkshire/North West RFCCs,1,Advisor,,
R13,Advisor - RMA Programme Management Office - Southern/Thames RFCC,1,Advisor,,
R14,Advisor - RMA Programme Management Office - Trent/English Severn & Wye RFCCs,1,Advisor,,
R15,Advisor - RMA Programme Management Office - Wessex/South West RFCCs,1,Advisor,,
R16,Local Operations - FCRM Advisor Local Levy - North East,0,Local Operations,,ZERO POSTS - nobody can be assigned here
R17,Local Operations - FCRM Advisor Local Levy - Wessex,2,Local Operations,,
R18,Local Operations Investment and Programmes Advisor - Cumbria and Lancashire,1,Local Operations Investment and Programmes Advisor,,
R19,"Local Operations Investment and Programmes Advisor - Devon, Cornwall and Isles of Scilly",1,Local Operations Investment and Programmes Advisor,,
R20,Local Operations Investment and Programmes Advisor - East Anglia,1,Local Operations Investment and Programmes Advisor,,
R21,Local Operations Investment and Programmes Advisor - East Midlands,1,Local Operations Investment and Programmes Advisor,,
R22,"Local Operations Investment and Programmes Advisor - Greater Manchester, Merseyside and Cheshire",1,Local Operations Investment and Programmes Advisor,,
R23,Local Operations Investment and Programmes Advisor - Hertfordshire and North London,1,Local Operations Investment and Programmes Advisor,,
R24,Local Operations Investment and Programmes Advisor - Kent and South London,1,Local Operations Investment and Programmes Advisor,,
R25,Local Operations Investment and Programmes Advisor - Lincolnshire and Northamptonshire,1,Local Operations Investment and Programmes Advisor,,
R26,Local Operations Investment and Programmes Advisor - North East Area,1,Local Operations Investment and Programmes Advisor,,
R27,Local Operations Investment and Programmes Advisor - Solent and South Downs,1,Local Operations Investment and Programmes Advisor,,
R28,Local Operations Investment and Programmes Advisor - Thames,1,Local Operations Investment and Programmes Advisor,,
R29,Local Operations Investment and Programmes Advisor - Wessex,1,Local Operations Investment and Programmes Advisor,,
R30,Local Operations Investment and Programmes Advisor - West Midlands,1,Local Operations Investment and Programmes Advisor,,
R31,Local Operations Investment and Programmes Advisor - Yorkshire,1,Local Operations Investment and Programmes Advisor,,
R32,Officer - PPD Programme Management Office - East Delivery Management Office,1,Officer,4 roles available in total,
R33,Officer - PPD Programme Management Office - Midlands Delivery Management Office,1,Officer,,
R34,Officer - PPD Programme Management Office - North East Delivery Management Office,1,Officer,,
R35,Officer - PPD Programme Management Office - South East Delivery Management Office,1,Officer,,
R36,Officer - PPD Programme Management Office - South West Delivery Management Office,1,Officer,,
?,Officer - PPD Programme Management Office - North West Delivery Management Office,1,Officer,,NO ROLE KEY - cannot join to app data
R37,Officer - Portfolio Management Office - Portfolio Management,1,Officer,,
R38,Officer - Portfolio Management Office - Portfolio Reporting & Insights - Monitoring & Review,1,Officer,,
R39,Officer - RMA Programme Management Office,1,Officer,,
R40,Officer - RMA Programme Management Office - Anglian North/Anglian Eastern/Anglian Great Ouse RFCCs,1,Officer,3 roles available in total,
R41,Officer - RMA Programme Management Office - Nortumbria/Yorkshire/North West RFCCs,1,Officer,,
R42,Officer - RMA Programme Management Office - Southern/Thames RFCC,1,Officer,,
R43,Officer - RMA Programme Management Office - Trent/English Severn & Wye RFCCs,1,Officer,,
R44,Officer - RMA Programme Management Office - Wessex/South West RFCCs,1,Officer,,
R45,Senior Advisor - PPD Programme Management Office - Programme wide,4,Senior Advisor,,
R46,Senior Advisor - Portfolio Management Office - Portfolio Management,1,Senior Advisor,,
R47,"Senior Advisor – Portfolio Management Office – Portfolio Reporting & Insights – Benefits, Outcomes & Performance",1,Senior Advisor,,
R48,Senior Advisor - RMA Programme Management Office - Delivery Assurance and Improvement,2,Senior Advisor,,
R49,Team Leader - PPD Programme Management Office - East Delivery Management Office,1,Team Leader,,
R50,Team Leader - PPD Programme Management Office - Midlands Delivery Management Office,1,Team Leader,,
R51,Team Leader - PPD Programme Management Office - North East Delivery Management Office,1,Team Leader,,
R52,Team Leader - PPD Programme Management Office - North West Delivery Management Office,1,Team Leader,,
R53,Team Leader - PPD Programme Management Office - Programme wide,1,Team Leader,,
R54,Team Leader - PPD Programme Management Office - South East Delivery Management Office,1,Team Leader,,
R55,Team Leader - PPD Programme Management Office - South West Delivery Management Office,1,Team Leader,,
R56,Team Leader - Portfolio Management Office - Portfolio Management,1,Team Leader,,
R59,Team Leader - RMA Programme Management Office - Deputy Programme Manager,1,Team Leader,,
R60,Team Leader - RMA Programme Management Office - Nortumbria/Yorkshire/North West RFCCs,1,Team Leader,,
R61,Team Leader - RMA Programme Management Office - Southern/Thames RFCC,1,Team Leader,,
R62,Team Leader - RMA Programme Management Office - Trent/English Severn & Wye RFCCs,1,Team Leader,,
R63,Team Leader - RMA Programme Management Office - Wessex/South West RFCCs,1,Team Leader,,
R64,Team Member - PPD Programme Management Office - Programme wide,1,Team Member,,
R65,Team Member - RMA Programme Management Office,1,Team Member,,
?,Team Leader - Portfolio Management Office - Portfolio Reporting & Insights - Monitoring & Review (Governance),1,Team Leader,,NO ROLE KEY - cannot join to app data
?,Team Leader - RMA Programme Management Office - Anglian North/Anglian Eastern/Anglian Great Ouse RFCCs,1,Team Leader,,NO ROLE KEY - cannot join to app data
